Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-09-28 12:23:29,false,"York Running","0.44","32","00:02:24.7","168","182","0.8","161","170","5:32","4:39","5","--","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:24.71.6","1","0.0","00:02:24","00:02:24.7","19","25"
Running,2022-09-28 11:51:32,false,"York Running","6.36","410","00:30:01","164","193","3.6","168","178","4:43","3:51","29","39","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:38.05.6","7","0.0","00:29:47","00:31:21","10","24"
Running,2022-09-27 07:04:43,false,"York Running","0.18","13","00:01:01.0","158","167","0.3","154","174","5:43","4:58","--","--","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:00.97.9","1","0.0","00:01:01.0","00:01:01.0","17","24"
Running,2022-09-27 06:54:13,false,"York Running","2.01","137","00:09:34.0","162","172","2.6","174","186","4:46","4:00","30","8","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.96.5","3","0.0","00:09:31.5","00:09:34.0","-0","24"
Running,2022-09-27 06:43:12,false,"York Running","2.51","139","00:10:32","145","164","2.5","175","190","4:12","3:06","11","22","1.36","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.45.7","5","0.0","00:10:26","00:10:32","11","25"
Running,2022-09-26 12:21:04,false,"York Running","0.34","25","00:01:51.9","166","181","0.9","160","172","5:29","4:41","--","--","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:51.89.3","1","0.0","00:01:45","00:02:28.2","22","25"
Running,2022-09-26 11:50:55,false,"York Running","6.06","408","00:28:42","169","195","3.9","166","186","4:44","3:21","29","36","1.27","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:04.67.5","8","0.0","00:28:19","00:29:38","8","25"
Running,2022-09-25 08:49:30,false,"York Running","0.23","16","00:01:19.0","137","141","0.4","159","176","5:50","5:08","--","--","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:19.00","1","0.0","00:01:19","00:01:19.0","22","26"
Running,2022-09-25 07:47:26,false,"York Running","12.01","784","01:01:05","151","165","4.2","169","184","5:05","4:04","64","68","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.25.6","13","0.0","01:00:26","01:01:30","5","25"
Running,2022-09-22 16:35:04,false,"York Running","1.01","75","00:05:01.2","188","194","2.2","166","176","4:59","3:49","10","9","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.50.6","2","0.0","00:04:51","00:05:04.2","13","25"
Running,2022-09-22 16:17:51,false,"York Running","3.53","202","00:14:50","153","191","3.1","171","188","4:12","3:15","17","21","1.39","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:06.92.1","5","0.0","00:14:35","00:16:37","8","25"
Indoor Cycling,2022-09-21 12:12:12,false,"Indoor Cycling","0.00","45","00:12:00","89","103","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","12:00.18.9","1","0.0","00:00:00","00:13:34","--","--"
Running,2022-09-20 18:02:27,false,"York Running","0.40","28","00:02:07.7","179","184","0.8","160","174","5:19","4:41","34","10","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:07.72.2","1","0.0","00:02:07","00:02:07.7","44","78"
Running,2022-09-20 17:29:13,false,"York Running","6.50","422","00:31:28","163","194","3.9","165","237","4:50","3:51","166","153","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:16.13","7","0.0","00:30:41","00:32:45","3","44"
Running,2022-09-19 11:51:38,false,"York Running","0.34","26","00:01:46.2","182","189","1.0","164","176","5:12","4:50","19","9","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:46.22.2","1","0.0","00:01:46","00:01:46.2","34","54"
Running,2022-09-19 11:12:10,false,"York Running","8.01","554","00:38:29","177","198","4.7","172","182","4:48","3:36","173","168","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.87.8","9","0.0","00:38:24","00:38:46","29","61"
Running,2022-09-18 09:44:22,false,"York Running","12.01","804","01:01:16","162","189","4.6","172","184","5:06","4:18","261","260","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.92.5","13","0.0","01:00:46","01:02:08","-8","48"
Running,2022-09-15 16:24:30,false,"York Running","4.01","260","00:17:47","166","196","3.6","172","182","4:26","3:46","27","30","1.31","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.51.1","5","0.0","00:17:41","00:19:42","8","25"
Running,2022-09-13 18:13:09,false,"York Running","0.25","20","00:01:23.7","177","186","0.6","160","174","5:33","4:51","--","--","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:23.73.3","1","0.0","00:01:23.7","00:01:23.7","21","25"
Running,2022-09-13 17:49:52,false,"York Running","5.01","329","00:22:48","167","196","3.8","173","184","4:33","3:42","26","29","1.27","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.49.1","6","0.0","00:22:46","00:22:48","7","25"
Running,2022-09-12 17:43:26,false,"York Running","0.54","40","00:02:49.3","181","186","1.4","160","174","5:14","4:15","8","--","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:49.25","1","0.0","00:02:43","00:02:49.3","13","25"
Running,2022-09-12 17:07:21,false,"York Running","7.00","494","00:33:21","179","200","4.5","167","182","4:46","3:40","36","47","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","04:17.22.5","7","0.0","00:32:50","00:35:14","8","25"
Running,2022-09-08 20:10:04,false,"York Running","0.43","31","00:02:14.3","183","188","1.0","162","170","5:13","5:02","3","--","1.18","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:14.25.5","1","0.0","00:00:00","00:02:14.3","21","25"
Running,2022-09-08 19:39:01,false,"York Running","6.40","439","00:30:02","173","202","4.3","165","188","4:41","3:12","16","25","1.30","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:44.20.8","7","0.0","00:00:00","00:30:23","10","24"
Running,2022-09-07 06:00:42,false,"York Running","0.44","32","00:02:29.6","149","153","0.8","162","170","5:43","4:50","--","17","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:29.56.7","1","0.0","00:00:00","00:02:29.6","20","40"
Running,2022-09-07 05:46:37,false,"York Running","3.01","184","00:13:20","146","159","3.0","171","186","4:26","3:33","7","13","1.32","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.17.8","4","0.0","00:00:00","00:13:20","13","24"
Running,2022-09-06 06:02:46,false,"York Running","5.01","341","00:25:55","159","194","3.4","169","188","5:11","3:26","26","27","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.34.7","6","0.0","00:00:00","00:25:55","10","24"
Running,2022-09-02 06:03:44,false,"York Running","7.01","489","00:34:27","177","194","4.1","171","188","4:55","3:36","32","33","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.00.6","8","0.0","00:00:00","00:34:27","10","26"
Running,2022-08-31 06:00:07,false,"York Running","6.60","428","00:33:36","157","187","3.4","170","182","5:05","4:20","34","35","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:00.77.7","9","0.0","00:00:00","00:34:44","11","25"
Running,2022-08-29 12:39:28,false,"York Running","0.43","25","00:01:44.9","141","157","0.9","167","200","4:04","3:44","--","--","1.48","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:44.85.6","1","0.0","00:00:00","00:01:44.9","9","10"
Running,2022-08-26 18:45:55,false,"York Running","5.39","370","00:25:25","173","198","3.7","166","238","4:43","3:00","30","32","1.27","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:31.74.8","6","0.0","00:25:10","00:25:25","8","25"
Running,2022-08-25 06:26:45,false,"York Running","2.00","140","00:10:52","151","163","2.3","170","178","5:25","4:28","21","32","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:00.41.6","3","0.0","00:10:40","00:10:52","9","33"
